ID_Aula,ID_Disciplina,Nome,Curso,Periodo,Professor,Lab_Requerido,CH_Aula
XDES01_0_A,XDES01,Fundamentos de Programação,CCO,1,Prof. CCO_16,Lab_Redes,2
XDES01_0_B,XDES01,Fundamentos de Programação,CCO,1,Prof. CCO_16,Lab_Redes,2
CRSC03_1_A,CRSC03,Arquitetura de Computadores I,CCO,1,Prof. CCO_4,Lab_Hardware,2
CRSC03_1_B,CRSC03,Arquitetura de Computadores I,CCO,1,Prof. CCO_4,Lab_Hardware,2
XMAC01_2_A,XMAC01,Matemática Discreta,CCO,1,Prof. CCO_1,,2
XMAC01_2_B,XMAC01,Matemática Discreta,CCO,1,Prof. CCO_1,,2
CAHC04_3_A,CAHC04,Projeto Integrado,CCO,1,Prof. CCO_20,,2
XDES02_4_A,XDES02,Programação Orientada a Objetos,CCO,3,Prof. CCO_18,,2
XDES02_4_B,XDES02,Programação Orientada a Objetos,CCO,3,Prof. CCO_18,,2
XDES04_5_A,XDES04,Engenharia de Software I,CCO,3,Prof. CCO_15,,2
XDES04_5_B,XDES04,Engenharia de Software I,CCO,3,Prof. CCO_15,,2
CTCO02_6_A,CTCO02,Algoritmos e Estrutura de Dados II,CCO,3,Prof. CCO_4,Lab_Redes,2
CTCO02_6_B,CTCO02,Algoritmos e Estrutura de Dados II,CCO,3,Prof. CCO_4,Lab_Redes,2
CRSC02_7_A,CRSC02,Sistemas Operacionais,CCO,3,Prof. CCO_16,Lab_Hardware,2
CRSC02_7_B,CRSC02,Sistemas Operacionais,CCO,3,Prof. CCO_16,Lab_Hardware,2
CMAC03_8_A,CMAC03,Algoritmos em Grafos,CCO,3,Prof. CCO_2,,2
CMAC03_8_B,CMAC03,Algoritmos em Grafos,CCO,3,Prof. CCO_2,,2
XMAC02_9_A,XMAC02,Métodos Matemáticos para Análise de Dados,CCO,3,Prof. CCO_15,,2
XMAC02_9_B,XMAC02,Métodos Matemáticos para Análise de Dados,CCO,3,Prof. CCO_15,,2
CTCO05_10_A,CTCO05,Teoria da Computação,CCO,5,Prof. CCO_19,,2
CTCO05_10_B,CTCO05,Teoria da Computação,CCO,5,Prof. CCO_19,,2
CTCO03_11_A,CTCO03,Análise e Projeto Orientados a Objetos,CCO,5,Prof. CCO_6,,2
CTCO03_11_B,CTCO03,Análise e Projeto Orientados a Objetos,CCO,5,Prof. CCO_6,,2
XPAD01_12_A,XPAD01,Banco de Dados I,CCO,5,Prof. CCO_9,Lab_Redes,2
XPAD01_12_B,XPAD01,Banco de Dados I,CCO,5,Prof. CCO_9,Lab_Redes,2
XMCO01_13_A,XMCO01,Inteligência Artificial,CCO,5,Prof. CCO_9,Lab_Hardware,2
XMCO01_13_B,XMCO01,Inteligência Artificial,CCO,5,Prof. CCO_9,Lab_Hardware,2
CMCO05_14_A,CMCO05,Introdução à Computação Visual,CCO,5,Prof. CCO_14,,2
CMCO05_14_B,CMCO05,Introdução à Computação Visual,CCO,5,Prof. CCO_14,,2
XAHC01_15_A,XAHC01,Computação e Sociedade,CCO,7,Prof. CCO_11,,2
XAHC01_15_B,XAHC01,Computação e Sociedade,CCO,7,Prof. CCO_11,,2
XAHC03_16_A,XAHC03,Metodologia Científica,CCO,7,Prof. CCO_10,,2
XAHC03_16_B,XAHC03,Metodologia Científica,CCO,7,Prof. CCO_10,,2
XDES01_17_A,XDES01,Fundamentos de Programação,SIN,1,Prof. SIN_18,,2
XDES01_17_B,XDES01,Fundamentos de Programação,SIN,1,Prof. SIN_18,,2
SAHC04_18_A,SAHC04,Projeto Integrado,SIN,1,Prof. SIN_9,Lab_Redes,2
SAHC05_19_A,SAHC05,Fundamentos de Sistemas de Informação,SIN,1,Prof. SIN_1,Lab_Hardware,2
SAHC05_19_B,SAHC05,Fundamentos de Sistemas de Informação,SIN,1,Prof. SIN_1,Lab_Hardware,2
XDES03_20_A,XDES03,Programação Web,SIN,3,Prof. SIN_3,,2
XDES03_20_B,XDES03,Programação Web,SIN,3,Prof. SIN_3,,2
SDES05_21_A,SDES05,Engenharia de Software II,SIN,3,Prof. SIN_5,,2
SDES05_21_B,SDES05,Engenharia de Software II,SIN,3,Prof. SIN_5,,2
STCO02_22_A,STCO02,Algoritmos e Programação II,SIN,3,Prof. SIN_6,,2
STCO02_22_B,STCO02,Algoritmos e Programação II,SIN,3,Prof. SIN_6,,2
SRSC03_23_A,SRSC03,Organização e Arquitetura de Computadores,SIN,3,Prof. SIN_13,,2
SRSC03_23_B,SRSC03,Organização e Arquitetura de Computadores,SIN,3,Prof. SIN_13,,2
SPAD02_24_A,SPAD02,Banco de Dados II,SIN,5,Prof. SIN_12,Lab_Redes,2
SPAD02_24_B,SPAD02,Banco de Dados II,SIN,5,Prof. SIN_12,Lab_Redes,2
SPAD03_25_A,SPAD03,Introdução à Análise de Dados,SIN,5,Prof. SIN_16,Lab_Hardware,2
SPAD03_25_B,SPAD03,Introdução à Análise de Dados,SIN,5,Prof. SIN_16,Lab_Hardware,2
XRSC01_26_A,XRSC01,Redes de Computadores ,SIN,5,Prof. SIN_2,,2
XRSC01_26_B,XRSC01,Redes de Computadores ,SIN,5,Prof. SIN_2,,2
SDES07_27_A,SDES07,Desenvolvimento de Sistemas na Web,SIN,7,Prof. SIN_9,,2
SDES07_27_B,SDES07,Desenvolvimento de Sistemas na Web,SIN,7,Prof. SIN_9,,2
XAHC02_28_A,XAHC02,Interação Humano Computador,SIN,7,Prof. SIN_8,,2
XAHC02_28_B,XAHC02,Interação Humano Computador,SIN,7,Prof. SIN_8,,2
SADG01_29_A,SADG01,Gestão e Governança de TI,SIN,9,Prof. SIN_5,,2
SADG01_29_B,SADG01,Gestão e Governança de TI,SIN,9,Prof. SIN_5,,2
SIN414_30_A,SIN414,Auditoria e Segurança de Sistemas,SIN,7,Prof. SIN_12,Lab_Redes,2
CCO016_31_A,CCO016,Fundamentos de Programação (EMT),CCO016,-,Prof. CCO_11,Lab_Hardware,2
CCO016_31_B,CCO016,Fundamentos de Programação (EMT),CCO016,-,Prof. CCO_11,Lab_Hardware,2
CCO016_32_A,CCO016,Fundamentos de Programação (EME) (2 Turmas),CCO016,-,Prof. CCO_6,,2
CCO016_32_B,CCO016,Fundamentos de Programação (EME) (2 Turmas),CCO016,-,Prof. CCO_6,,2
CCO016_33_A,CCO016,Fundamentos de Programação (EBP / ECI) (2 Turmas),CCO016,-,Prof. CCO_18,,2
CCO016_33_B,CCO016,Fundamentos de Programação (EBP / ECI) (2 Turmas),CCO016,-,Prof. CCO_18,,2
CCO016_34_A,CCO016,Fundamentos de Programação (MBA),CCO016,-,Prof. CCO_2,,2
CCO016_34_B,CCO016,Fundamentos de Programação (MBA),CCO016,-,Prof. CCO_2,,2
CCO016_35_A,CCO016,Fundamentos de Programação (EMA / EEN) (2 Turmas),CCO016,-,Prof. CCO_9,,2
CCO016_35_B,CCO016,Fundamentos de Programação (EMA / EEN) (2 Turmas),CCO016,-,Prof. CCO_9,,2
SADG02_36_A,SADG02,Economia da Informação,Optativas,1,Prof. CCO_16,Lab_Redes,2
SADG02_36_B,SADG02,Economia da Informação,Optativas,1,Prof. CCO_16,Lab_Redes,2
XDES11_37_A,XDES11,Tópicos em DES I,Optativas,2,Prof. CCO_7,Lab_Hardware,2
XDES11_37_B,XDES11,Tópicos em DES I,Optativas,2,Prof. CCO_7,Lab_Hardware,2
XRSC07_38_A,XRSC07,Computação em Nuvem,Optativas,3,Prof. CCO_3,,2
XRSC07_38_B,XRSC07,Computação em Nuvem,Optativas,3,Prof. CCO_3,,2
CMCO07_39_A,CMCO07,Visão Computacional,Optativas,4,Prof. CCO_15,,2
CMCO07_39_B,CMCO07,Visão Computacional,Optativas,4,Prof. CCO_15,,2
SDES05_40_A,SDES05,CCO: Engenharia de Software II (turma regular de SIN),Optativas,5,Prof. CCO_14,,2
SDES05_40_B,SDES05,CCO: Engenharia de Software II (turma regular de SIN),Optativas,5,Prof. CCO_14,,2
SDES07_41_A,SDES07,CCO: Desenvolvimento de Sistemas Web (turma regular de SIN),Optativas,6,Prof. CCO_17,,2
SDES07_41_B,SDES07,CCO: Desenvolvimento de Sistemas Web (turma regular de SIN),Optativas,6,Prof. CCO_17,,2
SADG01_42_A,SADG01,CCO: Gestão e Gorvenança de TI (turma regular de SIN),Optativas,7,Prof. CCO_14,Lab_Redes,2
SADG01_42_B,SADG01,CCO: Gestão e Gorvenança de TI (turma regular de SIN),Optativas,7,Prof. CCO_14,Lab_Redes,2
XPAD09_43_A,XPAD09,Análise e Previsão de Séries Temporais,Optativas,8,Prof. CCO_7,Lab_Hardware,2
